,school_name,type,student_name,budget
0,Huang High School,District,Paul Bradley,1910635
1,Huang High School,District,Victor Smith,1910635
2,Huang High School,District,Kevin Rodriguez,1910635
3,Huang High School,District,Dr. Richard Scott,1910635
4,Huang High School,District,Bonnie Ray,1910635
5,Huang High School,District,Bryan Miranda,1910635
6,Huang High School,District,Sheena Carter,1910635
7,Huang High School,District,Nicole Baker,1910635
8,Huang High School,District,Michael Roth,1910635
9,Huang High School,District,Matthew Greene,1910635
10,Huang High School,District,Andrew Alexander,1910635
11,Huang High School,District,Daniel Cooper,1910635
12,Huang High School,District,Brittney Walker,1910635
13,Huang High School,District,William Long,1910635
14,Huang High School,District,Tammy Hebert,1910635
15,Huang High School,District,Dr. Jordan Carson,1910635
16,Huang High School,District,Donald Zamora,1910635
17,Huang High School,District,Kimberly Santiago,1910635
18,Huang High School,District,Kevin Stevens,1910635
19,Huang High School,District,Brandi Lyons,1910635
20,Huang High School,District,Lisa Davis,1910635
21,Huang High School,District,Kristen Lopez,1910635
22,Huang High School,District,Kimberly Stewart,1910635
23,Huang High School,District,Christopher Parker,1910635
24,Huang High School,District,Chelsea Griffith,1910635
25,Huang High School,District,Cesar Morris,1910635
26,Huang High School,District,Melanie Decker,1910635
27,Huang High School,District,Tracey Oconnor,1910635
28,Huang High School,District,Kelly James,1910635
29,Huang High School,District,Nicole Brown,1910635
30,Huang High School,District,Bobby Harris,1910635
31,Huang High School,District,Brian Fernandez,1910635
32,Huang High School,District,Candace Phelps,1910635
33,Huang High School,District,Amy Gonzalez,1910635
34,Huang High School,District,Steven Green,1910635
35,Huang High School,District,Benjamin Carlson,1910635
36,Huang High School,District,Kevin Bailey,1910635
37,Huang High School,District,Jesse Newton,1910635
38,Huang High School,District,Kimberly Mercado,1910635
39,Huang High School,District,Gregory Roberts,1910635
40,Huang High School,District,Matthew Mayer,1910635
41,Huang High School,District,Jennifer Parks,1910635
42,Huang High School,District,John Carlson,1910635
43,Huang High School,District,Megan Roberts,1910635
44,Huang High School,District,Debra Flores,1910635
45,Huang High School,District,Heidi Jackson,1910635
46,Huang High School,District,Denise Bradford,1910635
47,Huang High School,District,Ellen Brown,1910635
48,Huang High School,District,Amy Perkins,1910635
49,Huang High School,District,Natalie Mitchell,1910635
50,Huang High School,District,Tiffany Gutierrez,1910635
51,Huang High School,District,Jennifer Hess,1910635
52,Huang High School,District,Christine Fletcher,1910635
53,Huang High School,District,Jon Smith,1910635
54,Huang High School,District,Tracey Yates,1910635
55,Huang High School,District,Jerry Gordon,1910635
56,Huang High School,District,Michael Cox,1910635
57,Huang High School,District,Madeline Snyder MD,1910635
58,Huang High School,District,Allison King,1910635
59,Huang High School,District,Theresa Meyer,1910635
60,Huang High School,District,Jared Wood,1910635
61,Huang High School,District,Eric Maynard,1910635
62,Huang High School,District,Mark Owens,1910635
63,Huang High School,District,Ronnie Conley,1910635
64,Huang High School,District,Kimberly Davis,1910635
65,Huang High School,District,Amy Mitchell,1910635
66,Huang High School,District,Mr. Dylan Taylor MD,1910635
67,Huang High School,District,Elizabeth Henderson,1910635
68,Huang High School,District,James Lopez,1910635
69,Huang High School,District,Michael Morgan,1910635
70,Huang High School,District,Angela Francis,1910635
71,Huang High School,District,Breanna Taylor,1910635
72,Huang High School,District,Jason Johnson,1910635
73,Huang High School,District,Kyle Martin,1910635
74,Huang High School,District,Dr. Scott Gill,1910635
75,Huang High School,District,Lisa Long,1910635
76,Huang High School,District,Erin Liu,1910635
77,Huang High School,District,Marcus Richards,1910635
78,Huang High School,District,Jason Thompson,1910635
79,Huang High School,District,Elizabeth Mckinney,1910635
80,Huang High School,District,Jessica Bailey,1910635
81,Huang High School,District,Lisa Frye,1910635
82,Huang High School,District,Lindsey Baker,1910635
83,Huang High School,District,Lisa Ramirez,1910635
84,Huang High School,District,Joseph Butler,1910635
85,Huang High School,District,Tina Lynch,1910635
86,Huang High School,District,Leah Benitez,1910635
87,Huang High School,District,Elizabeth Parker,1910635
88,Huang High School,District,Melissa Hunter,1910635
89,Huang High School,District,Miss Madison Everett,1910635
90,Huang High School,District,Ronald Garcia,1910635
91,Huang High School,District,Mark Cherry,1910635
92,Huang High School,District,Ryan Stokes,1910635
93,Huang High School,District,Isaiah Maldonado,1910635
94,Huang High School,District,Micheal Dennis,1910635
95,Huang High School,District,Kevin Martinez,1910635
96,Huang High School,District,Jessica Smith,1910635
97,Huang High School,District,Dawn Trujillo,1910635
98,Huang High School,District,Virginia Ramirez MD,1910635
99,Huang High School,District,Marc Hernandez,1910635
100,Huang High School,District,Jose Gonzalez,1910635
101,Huang High School,District,Jason Dennis,1910635
102,Huang High School,District,Gary Morris,1910635
103,Huang High School,District,William Mcdonald,1910635
104,Huang High School,District,Michael Savage,1910635
105,Huang High School,District,Alexis Todd,1910635
106,Huang High School,District,David Hansen,1910635
107,Huang High School,District,Steven Mendez,1910635
108,Huang High School,District,Ryan Lynch,1910635
109,Huang High School,District,Timothy Marks,1910635
110,Huang High School,District,Alexander Johns,1910635
111,Huang High School,District,Kenneth Chavez,1910635
112,Huang High School,District,Dennis Williams,1910635
113,Huang High School,District,Michael Roy,1910635
114,Huang High School,District,Richard Ryan,1910635
115,Huang High School,District,Matthew Reyes,1910635
116,Huang High School,District,Stephanie Ward,1910635
117,Huang High School,District,Christopher Tucker,1910635
118,Huang High School,District,Daniel Jones,1910635
119,Huang High School,District,Devin Craig,1910635
120,Huang High School,District,Erin Prince,1910635
121,Huang High School,District,Bernard Ortiz,1910635
122,Huang High School,District,Nicole Miller,1910635
123,Huang High School,District,Christopher Fritz,1910635
124,Huang High School,District,Bonnie Mckinney,1910635
125,Huang High School,District,Troy Nelson,1910635
126,Huang High School,District,Jennifer Lee,1910635
127,Huang High School,District,Ronald Ward,1910635
128,Huang High School,District,Nathaniel Hampton,1910635
129,Huang High School,District,Michael Travis,1910635
130,Huang High School,District,James Taylor,1910635
131,Huang High School,District,Thomas Strickland,1910635
132,Huang High School,District,Brittany Jackson,1910635
133,Huang High School,District,Marisa Lowe,1910635
134,Huang High School,District,Nicole Thomas,1910635
135,Huang High School,District,Matthew Rodriguez,1910635
